2024-05-01|12:00|AUTOPAY Expense - Store Rent|Full Art Hub| -1200.00
2024-05-01|13:00|AUTOPAY Expense - Apartment Rent|Personal| -1800.00
2024-05-02|14:00|Expense - Grocery|Personal| -120.00
2024-05-05|13:30|AUTOPAY Expense - Phone Bill|Personal| -100.00
2024-05-05|14:00|AUTOPAY Income - Scratch Lotto Co.|Personal| 5000.00
2024-05-10|11:00|Income - Pokémon Card Sale|Full Art Hub| 150.00
2024-05-12|14:00|Expense - Booster Packs Purchase|Full Art Hub| -200.00
2024-05-15|12:00|AUTOPAY Expense - Gym Membership|Personal| -50.00
2024-05-15|13:00|Income - Pokémon Card Grading Income|Full Art Hub| 75.00
2024-05-20|14:00|AUTOPAY Expense - Electricity Bill|Personal| -75.00
2024-05-22|12:30|Income - Event Income|Full Art Hub| 200.00
2024-05-25|15:00|AUTOPAY Expense - Internet Bill|Personal| -65.00
2024-05-30|13:00|Income - Pokémon Card Sale|Full Art Hub| 175.00
2024-08-01|12:00|AUTOPAY Expense - Store Rent|Full Art Hub| -1200.00
2024-08-01|13:00|AUTOPAY Expense - Apartment Rent|Personal| -1800.00
2024-08-02|14:00|Expense - Grocery|Personal| -130.00
2024-08-05|13:30|AUTOPAY Expense - Phone Bill|Personal| -100.00
2024-08-05|14:00|AUTOPAY Income - Scratch Lotto Co.|Personal| 5000.00
2024-08-10|11:00|Income - Pokémon Card Sale|Full Art Hub| 200.00
2024-08-12|14:00|Expense - Booster Packs Purchase|Full Art Hub| -250.00
2024-08-15|12:00|AUTOPAY Expense - Gym Membership|Personal| -50.00
2024-08-15|13:00|Income - Pokémon Card Grading Income|Full Art Hub| 100.00
2024-08-20|14:00|AUTOPAY Expense - Electricity Bill|Personal| -75.00
2024-08-22|12:30|Income - Event Income|Full Art Hub| 300.00
2024-08-25|15:00|AUTOPAY Expense - Internet Bill|Personal| -65.00
2024-08-30|13:00|Income - Pokémon Card Sale|Full Art Hub| 150.00
2024-12-01|12:00|AUTOPAY Expense - Store Rent|Full Art Hub| -1200.00
2024-12-01|13:00|AUTOPAY Expense - Apartment Rent|Personal| -1800.00
2024-12-02|14:00|Expense - Grocery|Personal| -150.00
2024-12-05|13:30|AUTOPAY Expense - Phone Bill|Personal| -100.00
2024-12-05|14:00|AUTOPAY Income - Scratch Lotto Co.|Personal| 5000.00
2024-12-10|11:00|Income - Pokémon Card Sale|Full Art Hub| 175.00
2024-12-12|14:00|Expense - Booster Packs Purchase|Full Art Hub| -220.00
2024-12-15|12:00|AUTOPAY Expense - Gym Membership|Personal| -50.00
2024-12-15|13:00|Income - Pokémon Card Grading Income|Full Art Hub| 125.00
2024-12-20|14:00|AUTOPAY Expense - Electricity Bill|Personal| -75.00
2024-12-22|12:30|Income - Event Income|Full Art Hub| 350.00
2024-12-25|15:00|AUTOPAY Expense - Internet Bill|Personal| -65.00
2024-12-30|13:00|Income - Pokémon Card Sale|Full Art Hub| 200.00
2025-01-01|12:00|AUTOPAY Expense - Store Rent|Full Art Hub| -1200.00
2025-01-01|13:00|AUTOPAY Expense - Apartment Rent|Personal| -1800.00
2025-01-02|14:00|Expense - Grocery|Personal| -140.00
2025-01-05|13:30|AUTOPAY Expense - Phone Bill|Personal| -100.00
2025-01-05|14:00|AUTOPAY Income - Scratch Lotto Co.|Personal| 5000.00
2025-01-10|11:00|Income - Pokémon Card Sale|Full Art Hub| 180.00
2025-01-12|14:00|Expense - Booster Packs Purchase|Full Art Hub| -230.00
2025-01-15|12:00|AUTOPAY Expense - Gym Membership|Personal| -50.00
2025-01-15|13:00|Income - Pokémon Card Grading Income|Full Art Hub| 120.00
2025-01-20|14:00|AUTOPAY Expense - Electricity Bill|Personal| -75.00
2025-01-22|12:30|Income - Event Income|Full Art Hub| 325.00
2025-01-25|15:00|AUTOPAY Expense - Internet Bill|Personal| -65.00
2025-01-30|13:00|Income - Pokémon Card Sale|Full Art Hub| 190.00
2025-02-01|12:00|AUTOPAY Expense - Store Rent|Full Art Hub| -1200.00
2025-02-01|13:00|AUTOPAY Expense - Apartment Rent|Personal| -1800.00
2025-02-02|14:00|Expense - Grocery|Personal| -125.00
2025-02-05|13:30|AUTOPAY Expense - Phone Bill|Personal| -100.00
2025-02-05|14:00|AUTOPAY Income - Scratch Lotto Co.|Personal| 5000.00
2025-02-10|11:00|Income - Pokémon Card Sale|Full Art Hub| 200.00
2025-02-12|14:00|Expense - Booster Packs Purchase|Full Art Hub| -210.00
2025-02-15|12:00|AUTOPAY Expense - Gym Membership|Personal| -50.00
2025-02-15|13:00|Income - Pokémon Card Grading Income|Full Art Hub| 110.00
2025-02-20|14:00|AUTOPAY Expense - Electricity Bill|Personal| -75.00
2025-02-22|12:30|Income - Event Income|Full Art Hub| 300.00
2025-02-25|15:00|AUTOPAY Expense - Internet Bill|Personal| -65.00
2025-02-28|13:00|Income - Pokémon Card Sale|Full Art Hub| 170.00
2025-03-01|12:00|AUTOPAY Expense - Store Rent|Full Art Hub| -1200.00
2025-03-01|13:00|AUTOPAY Expense - Apartment Rent|Personal| -1800.00
2025-03-02|14:00|Expense - Grocery|Personal| -135.00
2025-03-05|13:30|AUTOPAY Expense - Phone Bill|Personal| -100.00
2025-03-05|14:00|AUTOPAY Income - Scratch Lotto Co.|Personal| 5000.00
2025-03-10|11:00|Income - Pokémon Card Sale|Full Art Hub| 160.00
2025-03-12|14:00|Expense - Booster Packs Purchase|Full Art Hub| -220.00
2025-03-15|12:00|AUTOPAY Expense - Gym Membership|Personal| -50.00
2025-03-15|13:00|Income - Pokémon Card Grading Income|Full Art Hub| 115.00
2025-03-20|14:00|AUTOPAY Expense - Electricity Bill|Personal| -75.00
2025-03-22|12:30|Income - Event Income|Full Art Hub| 320.00
2025-03-25|15:00|AUTOPAY Expense - Internet Bill|Personal| -65.00
2025-03-30|13:00|Income - Pokémon Card Sale|Full Art Hub| 180.00
2025-04-01|12:00|AUTOPAY Expense - Store Rent|Full Art Hub| -1200.00
2025-04-01|13:00|AUTOPAY Expense - Apartment Rent|Personal| -1800.00
2025-04-02|14:00|Expense - Grocery|Personal| -140.00
2025-04-05|13:30|AUTOPAY Expense - Phone Bill|Personal| -100.00
2025-04-05|14:00|AUTOPAY Income - Scratch Lotto Co.|Personal| 5000.00
2025-04-10|11:00|Income - Pokémon Card Sale|Full Art Hub| 190.00
2025-04-12|14:00|Expense - Booster Packs Purchase|Full Art Hub| -230.00
2025-04-15|12:00|AUTOPAY Expense - Gym Membership|Personal| -50.00
2025-04-15|13:00|Income - Pokémon Card Grading Income|Full Art Hub| 120.00
2025-04-20|14:00|AUTOPAY Expense - Electricity Bill|Personal| -75.00
2025-04-22|12:30|Income - Event Income|Full Art Hub| 330.00
2025-04-25|15:00|AUTOPAY Expense - Internet Bill|Personal| -65.00
2025-04-30|13:00|Income - Pokémon Card Sale|Full Art Hub| 200.00
2025-05-01|12:00|AUTOPAY Expense - Store Rent|Full Art Hub| -1200.00
2025-05-01|13:00|AUTOPAY Expense - Apartment Rent|Personal| -1800.00
2025-05-02|14:00|Expense - Grocery|Personal| -130.00
2025-05-05|13:30|AUTOPAY Expense - Phone Bill|Personal| -100.00
2025-05-05|14:00|AUTOPAY Income - Scratch Lotto Co.|Personal| 5000.00
2025-05-10|11:00|Income - Pokémon Card Sale|Full Art Hub| 210.00
2025-05-12|14:00|Expense - Booster Packs Purchase|Full Art Hub| -240.00
2025-05-15|12:00|AUTOPAY Expense - Gym Membership|Personal| -50.00
2025-05-15|13:00|Income - Pokémon Card Grading Income|Full Art Hub| 125.00
2025-05-20|14:00|AUTOPAY Expense - Electricity Bill|Personal| -75.00
2025-05-22|12:30|Income - Event Income|Full Art Hub| 350.00
2025-05-25|15:00|AUTOPAY Expense - Internet Bill|Personal| -65.00
2025-05-30|13:00|Income - Pokémon Card Sale|Full Art Hub| 220.00